               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.029894,           0.0056888,                   0,             0.86757,                0.92,             0.93857,             0.46955,            0.033309,           0.0043006,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.029238,           0.0056757,                   0,             0.87619,                0.92,             0.93651,             0.53103,            0.028934,           0.0043039,                   0,            0.005842,            0.005842,            0.005842
                  86,             0.03024,           0.0056584,                   0,             0.87957,             0.87652,             0.91818,             0.50486,            0.030449,           0.0043526,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031145,           0.0062786,                   0,              0.9134,              0.8439,             0.95721,             0.47598,            0.031638,           0.0041466,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.030202,           0.0057439,                   0,                   1,             0.90478,             0.98223,             0.47731,            0.032428,           0.0041285,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.028407,           0.0051729,                   0,             0.95764,             0.90473,             0.96438,             0.55434,            0.031124,           0.0039825,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.029825,           0.0050803,                   0,             0.95755,                0.92,             0.96526,             0.54398,            0.031898,           0.0039935,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.026357,           0.0059231,                   0,             0.91608,             0.87357,             0.95506,             0.50116,            0.031193,           0.0040641,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.028793,           0.0054879,                   0,              0.9545,             0.83923,             0.92158,              0.5123,             0.03016,           0.0041356,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.027539,           0.0058295,                   0,             0.95417,             0.83308,              0.9459,             0.53824,            0.028919,           0.0041327,                   0,            0.005446,            0.005446,            0.005446
                  94,             0.02779,           0.0054975,                   0,             0.95413,             0.83223,             0.93838,             0.54354,            0.030366,           0.0040531,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030304,           0.0054199,                   0,               0.917,                0.92,              0.9609,             0.55264,            0.030024,           0.0040317,                   0,            0.005347,            0.005347,            0.005347
