               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.033697,            0.010457,           0.0022367,             0.97123,             0.94231,             0.98131,             0.50137,            0.035356,           0.0068998,           0.0024483,            0.002872,            0.002872,            0.002872
                  74,            0.032931,           0.0094722,           0.0026898,             0.94604,             0.90385,             0.96531,             0.51006,            0.035334,           0.0068941,           0.0024506,            0.002773,            0.002773,            0.002773
                  75,            0.032767,           0.0098918,           0.0021456,             0.94418,             0.94231,              0.9703,             0.48537,            0.035522,           0.0069723,            0.002454,            0.002674,            0.002674,            0.002674
                  76,            0.032549,           0.0085686,           0.0019104,             0.94017,             0.92308,             0.96509,              0.5034,            0.035275,           0.0069437,           0.0024731,            0.002575,            0.002575,            0.002575
                  77,            0.030353,           0.0097638,           0.0019547,             0.91541,             0.96154,             0.97334,             0.48885,            0.036149,           0.0069952,           0.0024632,            0.002476,            0.002476,            0.002476
                  78,            0.030808,           0.0088487,           0.0019335,             0.90881,             0.98077,             0.96831,             0.49816,            0.035413,            0.007103,           0.0024483,            0.002377,            0.002377,            0.002377
                  79,             0.03109,           0.0092032,           0.0022093,              0.9328,             0.96351,             0.97506,             0.49528,            0.035177,           0.0070763,           0.0024704,            0.002278,            0.002278,            0.002278
                  80,            0.030495,            0.009631,           0.0019533,             0.89764,             0.98077,             0.97877,             0.52732,            0.035446,           0.0069551,           0.0024204,            0.002179,            0.002179,            0.002179
                  81,            0.031547,           0.0094291,           0.0019657,             0.94663,             0.96154,             0.98399,             0.52023,            0.034627,           0.0069137,           0.0023674,             0.00208,             0.00208,             0.00208
                  82,            0.030501,           0.0091899,           0.0018072,             0.95595,             0.96154,             0.98877,             0.50901,            0.035609,           0.0069938,           0.0023628,            0.001981,            0.001981,            0.001981
                  83,            0.030216,           0.0091177,           0.0019331,             0.93798,             0.94231,             0.94716,             0.50716,            0.034322,           0.0069208,            0.002375,            0.001882,            0.001882,            0.001882
                  84,            0.029071,           0.0081599,           0.0019424,             0.95502,             0.97502,             0.98611,             0.53178,            0.034822,           0.0068517,           0.0024105,            0.001783,            0.001783,            0.001783
                  85,            0.031563,           0.0092497,           0.0017735,             0.95138,             0.96154,             0.97107,             0.51436,            0.034688,           0.0068212,           0.0023968,            0.001684,            0.001684,            0.001684
                  86,            0.029813,           0.0095326,           0.0020462,             0.95014,             0.98077,             0.98311,             0.51899,            0.034648,            0.006916,           0.0023937,            0.001585,            0.001585,            0.001585
                  87,            0.028749,            0.009561,           0.0019051,             0.91736,             0.94231,             0.94168,             0.49015,            0.035236,           0.0068383,           0.0023003,            0.001486,            0.001486,            0.001486
                  88,            0.029515,            0.009268,           0.0020859,             0.91607,             0.94231,             0.93825,             0.50915,            0.034857,           0.0068264,           0.0022411,            0.001387,            0.001387,            0.001387
                  89,             0.02794,           0.0084804,            0.001863,             0.89937,             0.98077,             0.96569,             0.50048,            0.035203,           0.0068245,           0.0022217,            0.001288,            0.001288,            0.001288
                  90,             0.02874,           0.0090287,            0.002147,             0.94031,             0.94231,             0.95116,             0.51282,             0.03457,           0.0067587,           0.0022041,            0.001189,            0.001189,            0.001189
                  91,            0.028373,           0.0097522,           0.0018875,             0.92339,             0.90385,             0.92554,             0.49393,            0.035131,            0.006804,           0.0021694,             0.00109,             0.00109,             0.00109
                  92,            0.027053,           0.0088573,           0.0015917,              0.9406,             0.90385,             0.92776,             0.51063,            0.034981,           0.0067759,           0.0021759,            0.000991,            0.000991,            0.000991
                  93,            0.027234,           0.0093349,            0.001612,             0.96709,             0.96154,             0.97304,             0.51231,            0.034266,           0.0067825,           0.0021923,            0.000892,            0.000892,            0.000892
                  94,            0.027657,            0.009297,           0.0016995,             0.94831,             0.96154,             0.97225,             0.51859,            0.034227,           0.0067964,           0.0022091,            0.000793,            0.000793,            0.000793
                  95,            0.027993,           0.0087107,           0.0023831,             0.94297,             0.96154,             0.97305,             0.52493,            0.033934,           0.0067568,           0.0022228,            0.000694,            0.000694,            0.000694
                  96,            0.027908,           0.0084757,           0.0020511,              0.9155,             0.96509,             0.97306,              0.5279,            0.034067,           0.0067453,           0.0022369,            0.000595,            0.000595,            0.000595
                  97,            0.026592,           0.0095748,           0.0014538,             0.91304,             0.96206,             0.97218,             0.51842,            0.034102,           0.0067673,           0.0022472,            0.000496,            0.000496,            0.000496
                  98,            0.027557,           0.0086026,           0.0022131,             0.91063,             0.97123,              0.9706,              0.5178,            0.034034,           0.0067654,           0.0022472,            0.000397,            0.000397,            0.000397
                  99,            0.026999,           0.0086036,           0.0018647,             0.91158,             0.97127,              0.9706,             0.51515,            0.033867,            0.006742,           0.0022228,            0.000298,            0.000298,            0.000298
